Point #,X,Y
1,88.897 mm,135.687 mm
2,87.675 mm,130.141 mm
3,87.17 mm,124.484 mm
4,87.39 mm,118.809 mm
5,88.331 mm,113.208 mm
6,89.977 mm,107.773 mm
1,102.721 mm,143.92 mm
2,98.319 mm,144.042 mm
3,94.181 mm,142.536 mm
4,90.887 mm,139.615 mm
5,88.897 mm,135.687 mm
1,113.512 mm,159.877 mm
2,109.156 mm,157.263 mm
3,105.732 mm,153.511 mm
4,103.525 mm,148.936 mm
5,102.721 mm,143.92 mm
1,120.016 mm,168.009 mm
2,117.399 mm,166.982 mm
3,115.288 mm,165.123 mm
4,113.939 mm,162.657 mm
5,113.512 mm,159.877 mm
1,126.932 mm,169.515 mm
2,124.481 mm,171.394 mm
3,121.464 mm,170.737 mm
4,120.016 mm,168.009 mm
1,126.932 mm,169.515 mm
2,124.856 mm,164.97 mm
3,123.296 mm,160.224 mm
4,122.272 mm,155.334 mm
5,121.796 mm,150.36 mm
6,121.874 mm,145.365 mm
7,122.505 mm,140.409 mm
8,123.681 mm,135.553 mm
1,118.926 mm,92.319 mm
2,121.163 mm,96.751 mm
3,122.995 mm,101.365 mm
4,124.408 mm,106.124 mm
5,125.389 mm,110.99 mm
6,125.932 mm,115.924 mm
7,126.031 mm,120.888 mm
8,125.687 mm,125.84 mm
9,124.901 mm,130.741 mm
10,123.681 mm,135.553 mm
