Point #,X,Y
1,46.455 mm,85.336 mm
2,49.44 mm,79.612 mm
3,53.711 mm,74.771 mm
4,59.018 mm,71.094 mm
5,65.052 mm,68.797 mm
6,71.46 mm,68.013 mm
1,33.497 mm,105.378 mm
2,34.09 mm,99.038 mm
3,36.65 mm,93.207 mm
4,40.916 mm,88.48 mm
5,46.455 mm,85.336 mm
1,24.116 mm,121.692 mm
2,24.073 mm,116.597 mm
3,25.796 mm,111.803 mm
4,29.073 mm,107.903 mm
5,33.497 mm,105.378 mm
1,17.14 mm,139.089 mm
2,16.04 mm,134.025 mm
3,16.983 mm,128.929 mm
4,19.822 mm,124.594 mm
5,24.116 mm,121.692 mm
1,17.14 mm,159.462 mm
2,14.291 mm,154.719 mm
3,13.299 mm,149.276 mm
4,14.291 mm,143.833 mm
5,17.14 mm,139.089 mm
1,20.64 mm,169.382 mm
2,15.469 mm,168.417 mm
3,13.719 mm,163.458 mm
4,17.14 mm,159.462 mm
1,20.64 mm,187.023 mm
2,18.73 mm,181.245 mm
3,18.73 mm,175.16 mm
4,20.64 mm,169.382 mm
1,26.175 mm,200 mm
2,22.425 mm,196.66 mm
3,20.455 mm,192.041 mm
4,20.64 mm,187.023 mm
1,26.175 mm,200 mm
2,28.178 mm,194.996 mm
3,30.293 mm,190.039 mm
4,32.519 mm,185.13 mm
5,34.855 mm,180.272 mm
6,37.299 mm,175.468 mm
7,39.849 mm,170.72 mm
8,42.506 mm,166.031 mm
9,45.268 mm,161.402 mm
10,48.132 mm,156.836 mm
11,51.098 mm,152.336 mm
12,54.165 mm,147.904 mm
13,57.33 mm,143.541 mm
14,60.592 mm,139.25 mm
15,63.95 mm,135.034 mm
16,67.401 mm,130.894 mm
17,70.944 mm,126.833 mm
18,74.578 mm,122.852 mm
19,78.3 mm,118.953 mm
20,82.108 mm,115.139 mm
21,86.001 mm,111.412 mm
22,89.977 mm,107.773 mm


